                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2189,                 6.2004,                 1.7149,                0.00735,                 0.3125,                0.00388,                0.00107,                 2.1075,                 46.009,                 2.0842,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2964,                 8.2008,                 1.8342,                0.00741,                 0.3125,                0.00378,                0.00117,                 2.0618,                 47.214,                  2.095,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.8229,                 6.3594,                 1.6935,                 0.0154,                  0.125,                0.00792,                0.00384,                  1.969,                 14.428,                 2.0471,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 2.1949,                 4.7205,                 1.8146,                0.12448,                   0.25,                0.11896,                0.04366,                 1.9313,                 11.843,                 1.9947,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.9007,                 3.2134,                 1.7252,                0.21613,                 0.1875,                 0.1386,                0.05808,                 1.8588,                 14.713,                 1.8452,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.6417,                 3.1794,                 1.3347,                0.06603,                  0.125,                0.02997,                0.01119,                 2.1548,                 33.779,                 1.9343,             0.00020911,             0.00020911,             0.00020911
                      7,                 1.4395,                 2.4834,                  1.256,                0.09635,                 0.3125,                0.04368,                0.02241,                 2.2359,                 12.715,                  2.075,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.2493,                 1.6866,                 1.1871,                0.36578,                  0.375,                0.19978,                 0.0945,                 2.3688,                 5.5771,                 2.3023,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.3247,                 1.5622,                 1.1473,                0.33471,                 0.4375,                0.27866,                0.12664,                 2.3947,                 6.9008,                 2.8847,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.1313,                 1.6254,                 1.0695,                0.37436,                    0.5,                0.30529,                0.15522,                 2.2624,                 6.3684,                 2.7982,             0.00034614,             0.00034614,             0.00034614
